itemGroup,condition,prime,target,primetype
1,related-TL-internal,neevr,ALWAYS,related
2,unrelated-TL-final,fruil,APPLE,unrelated
3,unrelated-TL-internal,marhc,APRIL,unrelated
4,unrelated-TL-internal,uncel,AUNT,unrelated
5,unrelated-TL-internal,roats,BEEF,unrelated
6,related-TL-internal,abvoe,BELOW,related
7,related-TL-internal,roibn,BIRD,related
8,related-TL-internal,felsh,BLOOD,related
9,related-TL-final,skart,BLOUSE,related
10,related-TL-internal,sutdy,BOOKS,related
11,unrelated-TL-final,houne,BRICK,unrelated
12,related-TL-internal,crary,BRING,related
13,related-TL-final,holls,BUMPS,related
14,related-TL-internal,braed,BUTTER,related
15,unrelated-TL-internal,jaisl,CELLS,unrelated
16,unrelated-TL-final,fraod,CHEAT,unrelated
17,related-TL-final,miver,COAL,related
18,unrelated-TL-final,judpe,COURT,unrelated
19,unrelated-TL-internal,rivre,CREEK,unrelated
20,unrelated-TL-final,thiaf,CROOK,unrelated
21,related-TL-final,fapes,CROWD,related
22,unrelated-TL-internal,fatla,DEATH,unrelated
23,unrelated-TL-final,angol,DEVIL,unrelated
24,unrelated-TL-internal,clena,DIRTY,unrelated
25,related-TL-final,nunse,DOCTOR,related
26,related-TL-final,awane,DREAM,related
27,related-TL-final,lirts,DROPS,related
28,unrelated-TL-final,sobir,DRUNK,unrelated
29,related-TL-internal,baocn,EGGS,related
30,unrelated-TL-final,knike,FORK,unrelated
31,related-TL-internal,emtpy,FULL,related
32,related-TL-internal,palys,GAMES,related
33,unrelated-TL-final,selks,GOODS,unrelated
34,related-TL-internal,caost,GUARD,related
35,unrelated-TL-internal,curyl,HAIR,unrelated
36,unrelated-TL-final,glovs,HAND,unrelated
37,related-TL-internal,loevs,HATES,related
38,unrelated-TL-internal,spiec,HERBS,unrelated
39,related-TL-final,moult,HORSE,related
40,unrelated-TL-final,camek,HUMP,unrelated
41,related-TL-internal,paerl,JEWEL,related
42,unrelated-TL-internal,royla,KINGS,unrelated
43,unrelated-TL-final,earty,LATE,unrelated
44,unrelated-TL-final,sneor,LAUGH,unrelated
45,related-TL-final,toach,LEARN,related
46,unrelated-TL-final,heamy,LIGHT,unrelated
47,unrelated-TL-final,tigem,LION,unrelated
48,related-TL-internal,shrot,LONG,related
49,related-TL-final,teght,LOOSE,related
50,unrelated-TL-final,maybs,MIGHT,unrelated
51,unrelated-TL-final,majos,MINOR,unrelated
52,unrelated-TL-internal,coisn,MONEY,unrelated
53,unrelated-TL-final,teesh,MOUTH,unrelated
54,related-TL-final,uther,MOVIE,related
55,unrelated-TL-final,batke,NAKED,unrelated
56,unrelated-TL-internal,scafr,NECK,unrelated
57,unrelated-TL-final,greem,OLIVE,unrelated
58,unrelated-TL-internal,sprya,PAINT,unrelated
59,unrelated-TL-internal,whoel,PART,unrelated
60,unrelated-TL-final,papec,PENCIL,unrelated
61,unrelated-TL-internal,pilto,PLANE,unrelated
62,related-TL-internal,baord,PLANK,related
63,related-TL-final,idoas,PLANS,related
64,related-TL-final,peash,PLUM,related
65,related-TL-final,sengs,POEMS,related
66,related-TL-final,lokes,PONDS,related
67,unrelated-TL-internal,lowre,RAISE,unrelated
68,related-TL-final,shawe,RAZOR,related
69,related-TL-internal,coarl,REEFS,related
70,unrelated-TL-internal,monsk,ROBES,unrelated
71,unrelated-TL-final,slidd,RULER,unrelated
72,related-TL-internal,botls,SCREW,related
73,unrelated-TL-internal,platn,SEED,unrelated
74,related-TL-final,poilt,SHARP,related
75,unrelated-TL-internal,barsn,SHEDS,unrelated
76,unrelated-TL-final,metak,SHINY,unrelated
77,related-TL-internal,patns,SHIRT,related
78,related-TL-final,muric,SING,related
79,unrelated-TL-internal,clodu,SKIES,unrelated
80,unrelated-TL-internal,lareg,SMALL,unrelated
81,related-TL-final,roegh,SMOOTH,related
82,unrelated-TL-internal,slete,SNOW,unrelated
83,unrelated-TL-final,shoen,SOCKS,unrelated
84,unrelated-TL-internal,couhc,SOFA,unrelated
85,related-TL-internal,leomn,SOUR,related
86,unrelated-TL-internal,norht,SOUTH,unrelated
87,unrelated-TL-final,rount,SQUARE,unrelated
88,unrelated-TL-internal,meast,STEAK,unrelated
89,related-TL-final,rogid,STIFF,related
90,unrelated-TL-final,stisk,STONE,unrelated
91,related-TL-final,beble,STORY,related
92,related-TL-internal,borom,SWEEP,related
93,unrelated-TL-final,salky,SWEET,unrelated
94,unrelated-TL-final,chaim,TABLE,unrelated
95,related-TL-internal,haeds,TAILS,related
96,related-TL-internal,gievn,TAKEN,related
97,related-TL-final,faimy,TALES,related
98,unrelated-TL-internal,speka,TALK,unrelated
99,unrelated-TL-final,telle,TALKS,unrelated
100,unrelated-TL-internal,onino,TEARS,unrelated
101,related-TL-final,fluas,TICKS,related
102,related-TL-final,cleck,TIME,related
103,unrelated-TL-final,trais,TRACK,unrelated
104,unrelated-TL-internal,magci,TRICK,unrelated
105,related-TL-internal,setms,TWIGS,related
106,unrelated-TL-final,angny,UPSET,unrelated
107,unrelated-TL-internal,coast,VESTS,unrelated
108,unrelated-TL-internal,slepe,WAKES,unrelated
109,related-TL-final,ponka,WALTZ,related
110,unrelated-TL-final,neeks,WANTS,unrelated
111,unrelated-TL-final,oceam,WAVES,unrelated
112,unrelated-TL-internal,grasn,WEEDS,unrelated
113,related-TL-internal,waogn,WHEEL,related
114,unrelated-TL-final,blask,WHITE,unrelated
115,related-TL-internal,croks,WINES,related
116,related-TL-final,girns,WOMEN,related
117,related-TL-final,shoep,WOOL,related
118,unrelated-TL-internal,gloeb,WORLD,unrelated
119,unrelated-TL-internal,valeu,WORTH,unrelated
120,related-TL-final,chuld,YOUNG,related
