itemGroup,condition,prime,target,primetype
1,unrelated-TL-internal,nevre,ALWAYS,unrelated
2,related-TL-final,freit,APPLE,related
3,unrelated-TL-final,maroh,APRIL,unrelated
4,related-TL-final,unvle,AUNT,related
5,related-TL-internal,raost,BEEF,related
6,unrelated-TL-internal,aboev,BELOW,unrelated
7,unrelated-TL-internal,robni,BIRD,unrelated
8,unrelated-TL-internal,flehs,BLOOD,unrelated
9,related-TL-internal,skrit,BLOUSE,related
10,unrelated-TL-final,stuky,BOOKS,unrelated
11,related-TL-internal,huose,BRICK,related
12,unrelated-TL-internal,caryr,BRING,unrelated
13,related-TL-internal,hlils,BUMPS,related
14,unrelated-TL-final,breal,BUTTER,unrelated
15,unrelated-TL-final,jaits,CELLS,unrelated
16,related-TL-final,frald,CHEAT,related
17,unrelated-TL-internal,minre,COAL,unrelated
18,related-TL-final,judpe,COURT,related
19,unrelated-TL-final,rives,CREEK,unrelated
20,related-TL-final,thirf,CROOK,related
21,unrelated-TL-internal,facse,CROWD,unrelated
22,related-TL-final,fatil,DEATH,related
23,unrelated-TL-internal,angle,DEVIL,unrelated
24,related-TL-internal,claen,DIRTY,related
25,related-TL-internal,nusre,DOCTOR,related
26,related-TL-internal,awkae,DREAM,related
27,unrelated-TL-final,lifte,DROPS,unrelated
28,related-TL-internal,soebr,DRUNK,related
29,related-TL-final,bamon,EGGS,related
30,unrelated-TL-internal,knief,FORK,unrelated
31,unrelated-TL-final,empky,FULL,unrelated
32,unrelated-TL-final,plags,GAMES,unrelated
33,related-TL-final,salls,GOODS,related
34,unrelated-TL-internal,coats,GUARD,unrelated
35,unrelated-TL-final,curky,HAIR,unrelated
36,related-TL-final,glone,HAND,related
37,unrelated-TL-final,lovis,HATES,unrelated
38,related-TL-internal,sipce,HERBS,related
39,related-TL-internal,muont,HORSE,related
40,unrelated-TL-internal,camle,HUMP,unrelated
41,unrelated-TL-internal,pealr,JEWEL,unrelated
42,related-TL-internal,roayl,KINGS,related
43,unrelated-TL-internal,earyl,LATE,unrelated
44,related-TL-internal,sener,LAUGH,related
45,related-TL-internal,taech,LEARN,related
46,unrelated-TL-internal,heayv,LIGHT,unrelated
47,unrelated-TL-internal,tigre,LION,unrelated
48,unrelated-TL-final,shork,LONG,unrelated
49,unrelated-TL-internal,tigth,LOOSE,unrelated
50,related-TL-final,marbe,MIGHT,related
51,unrelated-TL-internal,majro,MINOR,unrelated
52,unrelated-TL-final,coirs,MONEY,unrelated
53,related-TL-final,telth,MOUTH,related
54,unrelated-TL-internal,ushre,MOVIE,unrelated
55,unrelated-TL-internal,bateh,NAKED,unrelated
56,related-TL-internal,scraf,NECK,related
57,related-TL-internal,geren,OLIVE,related
58,related-TL-final,sproy,PAINT,related
59,unrelated-TL-final,whols,PART,unrelated
60,unrelated-TL-internal,papre,PENCIL,unrelated
61,related-TL-internal,pliot,PLANE,related
62,unrelated-TL-final,boart,PLANK,unrelated
63,unrelated-TL-internal,idesa,PLANS,unrelated
64,related-TL-internal,paech,PLUM,related
65,unrelated-TL-internal,sonsg,POEMS,unrelated
66,unrelated-TL-final,lakem,PONDS,unrelated
67,unrelated-TL-final,lowem,RAISE,unrelated
68,unrelated-TL-final,shane,RAZOR,unrelated
69,unrelated-TL-internal,corla,REEFS,unrelated
70,related-TL-internal,mokns,ROBES,related
71,related-TL-final,slike,RULER,related
72,unrelated-TL-internal,bolst,SCREW,unrelated
73,related-TL-final,plint,SEED,related
74,unrelated-TL-final,poind,SHARP,unrelated
75,related-TL-internal,banrs,SHEDS,related
76,related-TL-final,megal,SHINY,related
77,unrelated-TL-internal,panst,SHIRT,unrelated
78,related-TL-internal,muisc,SING,related
79,related-TL-internal,cluod,SKIES,related
80,related-TL-final,lange,SMALL,related
81,unrelated-TL-final,rougl,SMOOTH,unrelated
82,related-TL-internal,selet,SNOW,related
83,related-TL-internal,sheos,SOCKS,related
84,related-TL-final,cooch,SOFA,related
85,unrelated-TL-internal,lemno,SOUR,unrelated
86,related-TL-final,norgh,SOUTH,related
87,related-TL-internal,ruond,SQUARE,related
88,related-TL-internal,maets,STEAK,related
89,unrelated-TL-internal,rigdi,STIFF,unrelated
90,related-TL-final,steck,STONE,related
91,unrelated-TL-internal,bibel,STORY,unrelated
92,unrelated-TL-final,broam,SWEEP,unrelated
93,related-TL-final,safty,SWEET,related
94,related-TL-final,chuir,TABLE,related
95,unrelated-TL-final,heaks,TAILS,unrelated
96,related-TL-final,gilen,TAKEN,related
97,related-TL-internal,fiary,TALES,related
98,related-TL-internal,spaek,TALK,related
99,related-TL-final,tulls,TALKS,related
100,unrelated-TL-final,oniom,TEARS,unrelated
101,unrelated-TL-final,fleis,TICKS,unrelated
102,related-TL-internal,colck,TIME,related
103,unrelated-TL-internal,trani,TRACK,unrelated
104,related-TL-final,magoc,TRICK,related
105,unrelated-TL-final,stemm,TWIGS,unrelated
106,related-TL-final,angdy,UPSET,related
107,related-TL-internal,caots,VESTS,related
108,unrelated-TL-final,sleip,WAKES,unrelated
109,unrelated-TL-internal,polak,WALTZ,unrelated
110,unrelated-TL-internal,neesd,WANTS,unrelated
111,related-TL-internal,ocena,WAVES,related
112,unrelated-TL-final,grasm,WEEDS,unrelated
113,unrelated-TL-final,wagos,WHEEL,unrelated
114,related-TL-internal,balck,WHITE,related
115,unrelated-TL-internal,corsk,WINES,unrelated
116,related-TL-internal,gilrs,WOMEN,related
117,unrelated-TL-internal,shepe,WOOL,unrelated
118,related-TL-internal,golbe,WORLD,related
119,related-TL-final,vanue,WORTH,related
120,related-TL-internal,chlid,YOUNG,related
