itemGroup,condition,prime,target,primetype
1,unrelated-TL-final,nevem,ALWAYS,unrelated
2,related-TL-internal,friut,APPLE,related
3,related-TL-internal,macrh,APRIL,related
4,related-TL-internal,unlce,AUNT,related
5,related-TL-final,roant,BEEF,related
6,related-TL-final,alove,BELOW,related
7,related-TL-final,rofin,BIRD,related
8,unrelated-TL-final,flest,BLOOD,unrelated
9,unrelated-TL-final,skist,BLOUSE,unrelated
10,related-TL-final,stady,BOOKS,related
11,related-TL-final,houge,BRICK,related
12,related-TL-final,cargy,BRING,related
13,unrelated-TL-final,hille,BUMPS,unrelated
14,related-TL-final,breid,BUTTER,related
15,related-TL-final,jaips,CELLS,related
16,unrelated-TL-internal,fradu,CHEAT,unrelated
17,unrelated-TL-final,minen,COAL,unrelated
18,unrelated-TL-internal,judeg,COURT,unrelated
19,related-TL-final,ruver,CREEK,related
20,related-TL-internal,tihef,CROOK,related
21,related-TL-internal,faecs,CROWD,related
22,unrelated-TL-final,fatak,DEATH,unrelated
23,related-TL-final,antel,DEVIL,related
24,related-TL-final,chean,DIRTY,related
25,unrelated-TL-internal,nures,DOCTOR,unrelated
26,unrelated-TL-final,awaks,DREAM,unrelated
27,related-TL-internal,litfs,DROPS,related
28,related-TL-final,siber,DRUNK,related
29,unrelated-TL-final,bacos,EGGS,unrelated
30,related-TL-internal,kinfe,FORK,related
31,related-TL-final,empky,FULL,related
32,related-TL-final,pluys,GAMES,related
33,unrelated-TL-internal,selsl,GOODS,unrelated
34,related-TL-final,coost,GUARD,related
35,related-TL-final,cusly,HAIR,related
36,related-TL-internal,golve,HAND,related
37,unrelated-TL-internal,lovse,HATES,unrelated
38,related-TL-final,skice,HERBS,related
39,unrelated-TL-internal,moutn,HORSE,unrelated
40,related-TL-final,cawel,HUMP,related
41,unrelated-TL-final,peard,JEWEL,unrelated
42,related-TL-final,ropal,KINGS,related
43,related-TL-final,eanly,LATE,related
44,related-TL-final,skeer,LAUGH,related
45,unrelated-TL-final,teash,LEARN,unrelated
46,related-TL-final,heamy,LIGHT,related
47,related-TL-final,tiper,LION,related
48,unrelated-TL-internal,shotr,LONG,unrelated
49,related-TL-internal,tihgt,LOOSE,related
50,related-TL-internal,mabye,MIGHT,related
51,related-TL-final,majar,MINOR,related
52,related-TL-internal,cions,MONEY,related
53,unrelated-TL-internal,teeht,MOUTH,unrelated
54,unrelated-TL-final,ushen,MOVIE,unrelated
55,related-TL-internal,bahte,NAKED,related
56,unrelated-TL-final,scanf,NECK,unrelated
57,related-TL-final,grenn,OLIVE,related
58,unrelated-TL-final,sprey,PAINT,unrelated
59,related-TL-internal,whloe,PART,related
60,related-TL-final,puper,PENCIL,related
61,related-TL-final,pidot,PLANE,related
62,related-TL-final,boird,PLANK,related
63,unrelated-TL-final,idean,PLANS,unrelated
64,unrelated-TL-internal,peahc,PLUM,unrelated
65,unrelated-TL-final,sonps,POEMS,unrelated
66,related-TL-internal,laeks,PONDS,related
67,related-TL-final,liwer,RAISE,related
68,related-TL-internal,shvae,RAZOR,related
69,unrelated-TL-final,corak,REEFS,unrelated
70,related-TL-final,manks,ROBES,related
71,unrelated-TL-internal,slied,RULER,unrelated
72,related-TL-final,bolps,SCREW,related
73,related-TL-internal,palnt,SEED,related
74,unrelated-TL-internal,poitn,SHARP,unrelated
75,unrelated-TL-final,barrs,SHEDS,unrelated
76,related-TL-internal,meatl,SHINY,related
77,unrelated-TL-final,pante,SHIRT,unrelated
78,unrelated-TL-internal,musci,SING,unrelated
79,unrelated-TL-final,cloul,SKIES,unrelated
80,unrelated-TL-final,largs,SMALL,unrelated
81,related-TL-internal,ruogh,SMOOTH,related
82,related-TL-final,sliet,SNOW,related
83,related-TL-final,spoes,SOCKS,related
84,related-TL-internal,cuoch,SOFA,related
85,related-TL-final,leron,SOUR,related
86,related-TL-internal,notrh,SOUTH,related
87,unrelated-TL-internal,roudn,SQUARE,unrelated
88,related-TL-final,miats,STEAK,related
89,related-TL-internal,riigd,STIFF,related
90,unrelated-TL-internal,stikc,STONE,unrelated
91,related-TL-internal,bilbe,STORY,related
92,unrelated-TL-internal,bromo,SWEEP,unrelated
93,related-TL-internal,satly,SWEET,related
94,unrelated-TL-internal,chari,TABLE,unrelated
95,unrelated-TL-internal,heasd,TAILS,unrelated
96,unrelated-TL-internal,givne,TAKEN,unrelated
97,unrelated-TL-final,faisy,TALES,unrelated
98,related-TL-final,spesk,TALK,related
99,related-TL-internal,tlels,TALKS,related
100,related-TL-internal,oinon,TEARS,related
101,related-TL-internal,flaes,TICKS,related
102,unrelated-TL-internal,clokc,TIME,unrelated
103,related-TL-internal,trian,TRACK,related
104,related-TL-internal,maigc,TRICK,related
105,unrelated-TL-internal,stesm,TWIGS,unrelated
106,related-TL-internal,anrgy,UPSET,related
107,unrelated-TL-final,coaks,VESTS,unrelated
108,related-TL-final,slemp,WAKES,related
109,unrelated-TL-final,polke,WALTZ,unrelated
110,related-TL-final,neeks,WANTS,related
111,unrelated-TL-internal,ocena,WAVES,unrelated
112,related-TL-internal,garss,WEEDS,related
113,unrelated-TL-internal,wagno,WHEEL,unrelated
114,related-TL-final,bleck,WHITE,related
115,unrelated-TL-final,corls,WINES,unrelated
116,unrelated-TL-internal,girsl,WOMEN,unrelated
117,related-TL-internal,sehep,WOOL,related
118,unrelated-TL-final,gloke,WORLD,unrelated
119,related-TL-internal,vaule,WORTH,related
120,unrelated-TL-final,chilk,YOUNG,unrelated
